variant,product,category,occurrences,why_flagged,your_notes,recipes,example_lines,split_into (you fill)
Pecan And Pumpkin Seed,Pecan And Pumpkin Seed,Nuts & Seeds,1,pattern,2 products: Pecans & pumpkin seeds. Will need to be categorised and separated accordingly,Pumpkin Candy Apple Salad,2 tbsp chopped pecans and pumpkin seeds,
Pickled Onion And Lime,Pickles,Canned & Jarred,1,pattern,“Lime” = separate product under produce,Roast Chicken Rice Salad,pickled onions and lime to garnish,
Pinche Flaky Sea Salt And Black Pepper,Pinche Flaky Sea Salt And Black Pepper,Spices & Herbs,1,pattern,2 product: “Flakey Sea Salt” ; “Black Pepper”. “Pinche” = qty,Protein Packed Roasted Squash Pasta,Pinches of flaky sea salt and black pepper,
Quick Pickled Ribbon Cucumber And Carrot,Salad,Produce,1,pattern,,Thai Style Chicken Satay,"quick pickled ribbons of cucumber and carrot (rice vinegar, maple syrup, salt)",
Raspberry And Blueberry,Berries,Produce,1,pattern,"2 products = “raspberry” , “blueberryy""",Greek Yogurt Raspberry Blueberry Bake,Raspberries and blueberries,
Salt And Cinnamon,Salt And Cinnamon,Spices & Herbs,1,pattern,2 products: “Salt” ; “Cinnamon”,Sticky Toffee Date Oats,Dash salt and cinnamon,
Salt And Pepper Season,Salt And Pepper Season,Spices & Herbs,1,pattern,"2 products: “Salt” ; ""Pepper"" .",Skillet Chicken Thighs with Mushroom Gravy,salt and pepper to season,
Salt And Sriracha,Salt And Sriracha,Condiments & Sauces,1,pattern,,Crispy Rice Tuna Salad,Salt and sriracha,
Soaked And Drained Date,Soaked And Drained Date,Other,1,pattern,,Cookie Dough Caramel Bars,1 cup soaked and drained dates,
Sundried Tomatoes In Oil,Sun-dried Tomatoes,Canned & Jarred,1,pattern,,Tuscan-Style Chicken Meatballs & Baby Mushrooms,10–12 sundried tomatoes in oil,
Tuna In Water,Tuna In Water,Meat & Seafood / Protein,1,pattern,,(no direct match),,
Zest And Juice Lemon,Lemon,Produce,1,pattern,2 different product variants but come from the same product = “zest” “juice”,(no direct match),,
Zest And Juice Lime,Lime,Produce,1,pattern,2 different product variants but come from the same product = “zest” “juice”,(no direct match),,
Carrot And White Radish,Carrot And White Radish,Produce,0,pattern,2 products: Carrots & white radish,(no direct match),,
Cinnamon And,Cinnamon,Spices & Herbs,0,pattern,,(no direct match),,
Flaky Sea Salt And Black Pepper,Flaky Sea Salt And Black Pepper,Spices & Herbs,0,pattern,2 product: “Flakey Sea Salt” ; “Black Pepper”,(no direct match),,
Instant Coffee Dissolved In Water,Coffee,Beverages,0,pattern,,(no direct match),,
Sundried Tomato In Oil,Sundried tomatoes,Canned & Jarred,0,pattern,,(no direct match),,
