Product,Pack qty,Measurement convention,Price per item,Price per measurement,Notes
Nutmeg,50g,per kg,£1.15,£23.00/kg,Sainsbury's Ground Nutmeg
Thai Red Curry Paste,180g,per kg,£2.50,£13.89/kg,
Tomato,loose,per kg,£1.80,£1.80/kg,Sold loose/per kg. Also: Cherry Tomatoes 500g £1.50 (£3.00/kg); Baby Plum 325g £1.00 (£3.08/kg)
Cayenne Pepper,42g,per kg,£1.15,£27.38/kg,
Thyme,20g,per kg,£0.55,£27.50/kg,Bunched/fresh. Dried jar also available: 12g £1.15 (£95.83/kg)
Banana,loose,per kg,£0.95,£0.95/kg,Sold loose/per kg
Bean Sprout,300g,per kg,£0.85,£2.83/kg,Sainsbury's Beansprouts
Ginger Paste,75g,per kg,£1.75,£23.33/kg,
Gochujang Paste,500g,per kg,£3.10,£6.20/kg,Chung Jung One (Amazon)
Miso Paste,300g,per kg,£3.30,£11.00/kg,Yutaka Organic Miso Paste
Pinche Salt Pepper,,,,,"FLAGGED FOR CONSOLIDATION - 'Pinche' (a pinch) is a quantity, not part of the ingredient name; consolidate with 'Salt And Pepper' / 'Salt Pepper'"
Coconut Cream,250ml,per litre,£2.10,£8.40/litre,
Desiccated Coconut,250g,per kg,£2.70,£10.80/kg,
Star Anise,15g,per kg,£1.15,£76.67/kg,
Sumac,45g,per kg,£1.45,£32.22/kg,
Sweetcorn,x2,per item,£1.29,65p each,Corn on the cob. Cobettes x4 also available: £1.29 (32p each)
Vanilla Essence,38ml,per litre,£2.85,£75.00/litre,"Matched to Madagascan Vanilla Extract, Taste the Difference - confirm vs. Vanilla Bean Paste row"
Walnut,200g,per kg,£2.35,£11.75/kg,Walnut Pieces
Arrowroot Starch,80g,per kg,£1.10,£13.75/kg,Sainsbury's Ground Arrowroot
Garam Masala,38g,per kg,£1.15,£30.26/kg,
Ginger And Garlic Paste,90g,per kg,£1.90,£21.11/kg,
Almond,300g,per kg,£3.50,£11.67/kg,Whole Almonds
Bone-in Skin-on Chicken Thigh,540g,per kg,£2.50,£4.63/kg,Skin on Thighs & Drumsticks pack (mixed cut)
Chickpeas,400g (240g drained),per kg,£0.41,£1.71/kg,"In water, drained weight noted"
Chile Lime Seasoning,142g,per kg,£3.50,£24.65/kg,Tajin Clasico Chilli & Lime Seasoning
Crispy Fried Onions,200g,per kg,£2.40,£12.00/kg,Naming discrepancy: no fried shallot product exists at Sainsbury's - matched to Fudco Crispy Fried Onions. All recipe mentions of this product should be normalised to 'Crispy Fried Onions'. RENAMED 2026-08-24 from 'Crispy Fried Shallot' here and in pricebook.csv; old name kept as an alias there so existing recipe text still resolves. Recipe text itself is unchanged.
Garlic Paste,75g,per kg,£1.75,£23.33/kg,
Mirin,150ml,per litre,£1.90,£12.67/litre,
Olive,340g (150g drained),per kg,£1.35,£3.97/kg,"Pitted Black Olives. Nectar price: £1.10 (£3.23/kg). Pitted Green Olives also available, same price"
Sun-dried Tomatoes,280g,per kg,£3.00,£10.71/kg,
Sweet Chilli Sauce,280g,per kg,£2.35,£8.39/kg,
Bok Choy,250g,per kg,£1.55,£6.20/kg,Sainsbury's Pak Choi
Tamarind Paste,200g,per kg,£1.85,£9.25/kg,MAHI Tamarind Pulp Cooking Paste
Agave Syrup,250ml,per litre,£2.85,£11.40/litre,The Groovy Food Company
Aleppo Pepper,170g,per kg,£6.49,£38.00/kg,"Cerez Pazari, Pul Biber (Amazon)"
Almond Extract,38ml,per litre,£2.40,£63.16/litre,"Moroccan Almond Extract, Taste the Difference"
Apple Sauce,420ml,per litre,£1.10,£2.62/litre,Sainsbury's Bramley Apple Sauce
Argentine Red Shrimp,,,,,FLAGGED per user note: normalise to 'Prawns' - all shrimp mentions across recipes should use 'Prawns' naming convention
Beetroot,500g,per kg,£2.30,£4.60/kg,Sainsbury's Bunched Beetroot
Black Bean,400g (235g drained),per kg,£0.45,£1.91/kg,"In water, drained weight noted"
Black Sesame Seed,100g,per kg,£2.10,£21.00/kg,Yutaka Roasted Black Sesame Seeds
Chicken Leg,1kg,per kg,£2.25,£2.25/kg,Skin on Chicken Legs
Chili Crunch,210g,per kg,£6.36,£30.29/kg,Laoganma Crispy Chilli Oil (Amazon)
Chinese Five Spice,,per kg,£1.15,£34.85/kg,Pack size not visible in screenshot
Coconut,each,per item,£1.25,£1.25 each,Whole cooking coconut
Cooking Oil Spray,200ml,per litre,£2.60,£13.00/litre,Extra Virgin Olive Oil Spray
Coriander Seed,25g,per kg,£1.15,£46.00/kg,
Corn,x2,per item,£1.29,65p each,Same as Sweetcorn - corn on the cob x2 (per user note)
Courgette,loose,per kg,£2.78,£2.78/kg,Sold loose/per kg
Grass-fed Collagen,,,,,Corrected spelling from 'Gras-fed' to 'Grass-fed' (per user note). Price data still needed.
Green Bean,300g,per kg,£1.16,£3.87/kg,
Harissa,90g,per kg,£1.90,£21.11/kg,
Hazelnut,100g,per kg,£2.50,£25.00/kg,Blanched Hazelnuts
Hot Sauce,57ml,per litre,£2.50,£43.86/litre,Tabasco Original
Mango,x2 pack,per item,£2.00,£1.00 each,
Mixed Herb,14g,per kg,£1.15,£82.14/kg,Sainsbury's Mixed Herbs
Msg,100g,per kg,£2.99,£30.00/kg,The Worldwide Mint (Amazon)
Nori,11g (x5 sheets),per kg,£2.00,£181.82/kg,Yutaka Sushi Nori Roasted Seaweed Sheets
Pitted Medjool Date,500g,per kg,£5.00,£10.00/kg,"Same as Medjool Date - Tesco Finest, non-pitted (per user note)"
Potato Starch,1kg,per kg,£6.99,£6.99/kg,The Worldwide Mint (Amazon)
Raisin,500g,per kg,£2.30,£4.60/kg,Seedless
Taco Seasoning,25g,per kg,£1.30,£52.00/kg,Old El Paso Mexican Taco Seasoning Mix
Tofu,450g,per kg,£3.50,£7.78/kg,The Tofoo Co. Naked Organic Tofu
Cashew,200g,per kg,£3.20,£16.00/kg,Oven Baked Unsalted
Green Cabbage,each,per item,£0.77,77p each,"ASSUMPTION: matched to Savoy Cabbage as the closest 'green' option - White Cabbage (89p) and Red Cabbage (89p) also available, confirm this is right"
Lean Turkey,500g,per kg,£4.95,£9.90/kg,2% Fat Turkey Breast Mince (leaner option). 7% Fat Turkey Mince also available: £4.25 (£8.50/kg)
M&S Only 5 Ingredients Multigrain Hoops,300g,per kg,£2.50,£8.33/kg,"M&S Only 5 Ingredients range. No matching Ingredient row in pricebook.csv — new SKU, not used by any recipe, so this row does not join yet"
