,corrected_grams,note,needs,qty_source,recipe_name,meal_type,serves,section,ingredient_line,parsed_name,computed_grams,how,FULL_RECIPE_for_context,why_flagged
0,,no enough to actuallty count ,★,unresolved,Cat Magic Macro Protein Brownie,dessert,,Icing,Sweetener drops,Sweetener drops,,"no amount, generic item",[Brownie] 100g oat flour · [Brownie] 30g whey protein powder (vanilla or chocolate) · [Brownie] 200ml egg whites · [Brownie] 300g mashed pumpkin (cooked) · [Brownie] 3 tbsp coco powder · [Brownie] Sweetener drops · [Brownie] 1 tsp baking powder · [Icing] 150g fat free smooth cottage cheese · [Icing] 10g whey protein · [Icing] 10g coco powder · [Icing] Sweetener drops · [Toppings] 2 blocks melted Lindt dark chocolate · [Toppings] 10g mini Tennis biscuits,unresolved (no value)
1,,,,,,,,,,,,,,
0,60,,?,estimated,Peaches and Cream Chia Pudding,dessert,2,Toppings,Greek yoghurt (sub coconut or soya yoghurt to keep DF),Greek yoghurt (sub coconut or soya yoghurt to keep DF),150,bare → 150 g typical (greek yoghurt),[Pudding] 1 peach · [Pudding] 1 cup milk of choice · [Pudding] 1 tbsp maple syrup · [Pudding] ½ tsp vanilla extract · [Pudding] 4 tbsp chia seeds · [Toppings] Peach jam · [Toppings] Greek yoghurt (sub coconut or soya yoghurt to keep DF) · [Toppings] Chopped peaches · [Toppings] Coconut flakes,large (~150g) main/base
1,,,,,,,,,,,,,,
0,15,ml - 1 tbsp,?,estimated,Pumpkin Donuts,dessert,8,Dough,Avocado oil for coating,Avocado oil for coating,150,bare → 1 × 150 g (avocado),[Dough] 1/2 cup + 1 tbsp pumpkin puree · [Dough] 1 cup self rising flour (sub AP flour with 1 tsp baking powder) · [Dough] 1 tbsp maple syrup · [Dough] 1/4 tsp salt · [Dough] Avocado oil for coating · [Coating] 1 tsp cinnamon · [Coating] 1/2 tsp pumpkin pie spice · [Coating] 1/4 cup coconut sugar or white sugar,large (~150g) main/base
1,,,,,,,,,,,,,,
0,,1 avocado split between the 4 serves,?,estimated,BBQ Chicken Stuffed Sweet Potatoes,dinner,4,Optional,"avocado, for topping",avocado,150,bare → 1 × 150 g (avocado),"[Main] 4 medium sweet potatoes · [Main] 454g chicken breast · [Main] 1 cup BBQ sauce (sugar-free) · [Main] 1 tsp garlic powder · [Main] 1 tsp onion powder · [Main] 1/2 tsp paprika · [For the slaw] 3 cups shredded coleslaw mix · [For the slaw] 2 tbsp nonfat Greek yoghurt · [For the slaw] 2 tbsp light mayonnaise · [For the slaw] 1 tbsp white vinegar · [For the slaw] salt and pepper, to taste · [Optional] avocado, for topping",large (~150g) main/base
1,,,,,,,,,,,,,,
0,800,,?,estimated,Butternut Squash Mac and Cheese,dinner,4,Main,1 whole butternut squash,whole butternut squash,800,1.0 × 800 g whole (butternut squash),"[Main] 1 whole butternut squash · [Main] 200g pasta · [Main] 600ml milk of choice · [Main] 1 heaped tbsp plain flour · [Main] 1 tbsp olive oil · [Main] 1 tsp honey (optional) · [Main] 40g Grana Padano · [Main] 40g cheddar cheese · [Main] 1 stock cube · [Breadcrumb Topping] 1 slice seeded bread, approx 60g · [Breadcrumb Topping] 2 sprigs thyme · [Breadcrumb Topping] 1 tsp garlic granules · [Breadcrumb Topping] 1 tsp olive oil",large (~800g) main/base
1,,,,,,,,,,,,,,
0,600,,?,estimated,Cauliflower Cheese Gnocchi Bake,dinner,3,Main,"1 head cauliflower, cut into small florets",head cauliflower,600,1.0 × 600 g (head),"[Main] 250g fresh gnocchi · [Main] 1 head cauliflower, cut into small florets · [Main] 1 leek, finely sliced · [Main] 500ml milk · [Main] 1 heaped tbsp flour · [Main] 1 tsp garlic granules · [Main] 1 tbsp mustard · [Main] 1 chicken stock cube · [Main] 20g grated parmesan · [Main] 20g grated cheddar · [Main] a few tbsp breadcrumbs · [Main] thyme leaves",large (~600g) main/base
1,,,,,,,,,,,,,,
0,,it'll be 1/2 cup of normal rice if cooked + half cup cauliflower rice ,?,estimated,Chili Honey Chicken Bowl,dinner,2,To Serve,Cauliflower rice or rice of choice,Cauliflower rice or rice of choice,180,bare → 180 g typical (rice),"[Chicken] 450g (1 lb) skinless boneless chicken thighs · [Chicken] ¼ tsp chilli crunch oil · [Chicken] 1 tsp raw organic honey · [Chicken] ½ tsp garlic powder · [Chicken] 1 tsp paprika · [Chicken] 1 tsp salt · [Chicken] Pinch black pepper · [Chicken] 1 tbsp avocado oil · [Pineapple Salsa] ½ cup (~90g) pineapple, diced · [Pineapple Salsa] 1 medium avocado, diced · [Pineapple Salsa] ¼ cup red onion, finely diced · [Pineapple Salsa] 1 tbsp fresh coriander, chopped · [Pineapple Salsa] Juice of 1 lime · [Pineapple Salsa] Salt and black pepper, to taste · [Honey Chili Lime Glaze] 3 tbsp raw organic honey · [Honey Chili Lime Glaze] 1 tbsp lime juice · [Honey Chili Lime Glaze] ¼ tsp chilli crunch oil · [To Serve] Cauliflower rice or rice of choice",dish-dependent phrase
1,,,,,,,,,,,,,,
0,400,1/2 cup cooked. Exclude from nutritional calculations,?,estimated,Chipotle Chicken & Rice Skillet,dinner,4,To Serve,rice of choice,rice of choice,180,bare → 180 g typical (rice),[Chicken] 5 bone-in skin-on chicken thighs · [Chicken] 1 tsp olive oil · [Chicken] salt and cracked pepper · [Chicken] ½ tbsp chipotle powder · [Chicken] 1 tbsp sweet paprika · [Chicken] 1 tbsp garlic powder · [Chicken] 1 tbsp oregano or thyme · [Cucumber Salad] ½ finely diced red onion · [Cucumber Salad] 2–3 Persian cucumbers · [Cucumber Salad] 2–3 tbsp finely diced fresh cilantro · [Cucumber Salad] salt · [Crema Sauce] 3 tbsp Greek yogurt · [Crema Sauce] 3 tbsp mayo · [Crema Sauce] 1 clove garlic · [Crema Sauce] ½ jalapeño · [Crema Sauce] large handful cilantro · [Crema Sauce] juice of 1 large lime · [Crema Sauce] salt and pepper · [To Serve] rice of choice · [To Serve] jalapeños · [To Serve] sliced avocado · [To Serve] cotija cheese crumbles,dish-dependent phrase
1,,,,,,,,,,,,,,
0,180,1/4 avocado,?,estimated,Chipotle Chicken & Rice Skillet,dinner,4,To Serve,sliced avocado,sliced avocado,150,bare → 1 × 150 g (avocado),[Chicken] 5 bone-in skin-on chicken thighs · [Chicken] 1 tsp olive oil · [Chicken] salt and cracked pepper · [Chicken] ½ tbsp chipotle powder · [Chicken] 1 tbsp sweet paprika · [Chicken] 1 tbsp garlic powder · [Chicken] 1 tbsp oregano or thyme · [Cucumber Salad] ½ finely diced red onion · [Cucumber Salad] 2–3 Persian cucumbers · [Cucumber Salad] 2–3 tbsp finely diced fresh cilantro · [Cucumber Salad] salt · [Crema Sauce] 3 tbsp Greek yogurt · [Crema Sauce] 3 tbsp mayo · [Crema Sauce] 1 clove garlic · [Crema Sauce] ½ jalapeño · [Crema Sauce] large handful cilantro · [Crema Sauce] juice of 1 large lime · [Crema Sauce] salt and pepper · [To Serve] rice of choice · [To Serve] jalapeños · [To Serve] sliced avocado · [To Serve] cotija cheese crumbles,large (~150g) main/base
1,,,,,,,,,,,,,,
0,280,1 roll,?,estimated,Copycat Nando's Peri Peri Chicken Burgers,dinner,4,Burgers,"4 soft rolls, split and lightly toasted",soft rolls,400,"4.0 × 100 g (unknown unit, fallback)","[Peri Peri Sauce / Marinade] 1–3 birds eye red chilies (1=mild, 3=medium spicy) · [Peri Peri Sauce / Marinade] 1 medium red capsicum/bell pepper, roughly cut · [Peri Peri Sauce / Marinade] 5 garlic cloves, peeled · [Peri Peri Sauce / Marinade] 3 tbsp vegetable or canola oil · [Peri Peri Sauce / Marinade] 4 tbsp malt vinegar (sub red wine vinegar) · [Peri Peri Sauce / Marinade] 2 tbsp smoked paprika · [Peri Peri Sauce / Marinade] 1 tbsp dried oregano · [Peri Peri Sauce / Marinade] 2 tsp onion powder · [Peri Peri Sauce / Marinade] 1½ tsp white sugar · [Peri Peri Sauce / Marinade] 1½ tsp cooking/kosher salt · [Peri Peri Sauce / Marinade] 3 drops red food colouring (optional) · [Perinaise] 3 tbsp Peri Peri Sauce (above) · [Perinaise] ½ cup whole egg mayonnaise · [Perinaise] ¼ cup sour cream or yoghurt · [Burgers] 4 chicken breasts or thigh fillets, boneless skinless · [Burgers] 2 tbsp olive oil · [Burgers] 4 soft rolls, split and lightly toasted · [Burgers] 2 tomatoes, sliced · [Burgers] lettuce of choice",fallback guess
1,,,,,,,,,,,,,,
0,N/A,1 leaf?,?,estimated,Copycat Nando's Peri Peri Chicken Burgers,dinner,4,Burgers,lettuce of choice,lettuce of choice,30,bare → 30 g typical (lettuce),"[Peri Peri Sauce / Marinade] 1–3 birds eye red chilies (1=mild, 3=medium spicy) · [Peri Peri Sauce / Marinade] 1 medium red capsicum/bell pepper, roughly cut · [Peri Peri Sauce / Marinade] 5 garlic cloves, peeled · [Peri Peri Sauce / Marinade] 3 tbsp vegetable or canola oil · [Peri Peri Sauce / Marinade] 4 tbsp malt vinegar (sub red wine vinegar) · [Peri Peri Sauce / Marinade] 2 tbsp smoked paprika · [Peri Peri Sauce / Marinade] 1 tbsp dried oregano · [Peri Peri Sauce / Marinade] 2 tsp onion powder · [Peri Peri Sauce / Marinade] 1½ tsp white sugar · [Peri Peri Sauce / Marinade] 1½ tsp cooking/kosher salt · [Peri Peri Sauce / Marinade] 3 drops red food colouring (optional) · [Perinaise] 3 tbsp Peri Peri Sauce (above) · [Perinaise] ½ cup whole egg mayonnaise · [Perinaise] ¼ cup sour cream or yoghurt · [Burgers] 4 chicken breasts or thigh fillets, boneless skinless · [Burgers] 2 tbsp olive oil · [Burgers] 4 soft rolls, split and lightly toasted · [Burgers] 2 tomatoes, sliced · [Burgers] lettuce of choice",dish-dependent phrase
1,,,,,,,,,,,,,,
0,,1 tbsp of each. Split across 2 rows. Separate ingredients ,★,unresolved,Creamy Mango and Coconut Cod Curry,dinner,2,Main,Soy sauce & fish sauce,Soy sauce & fish sauce,,"no amount, generic item","[Main] 2 tbsp Thai red curry paste · [Main] 1 chicken stock cube · [Main] 1 tsp chopped garlic · [Main] 3 spring onions, diced · [Main] 1 red pepper · [Main] Handful of spinach · [Main] 1 tin coconut milk (light or regular) · [Main] 200g fresh mango (pre-blended or whole; can use frozen) · [Main] Soy sauce & fish sauce · [Main] 2 cod fillets (or any fish) · [Main] 1 lime",unresolved (no value)
1,,,,,,,,,,,,,,
0,400,1/2 cup cooked. Exclude from nutritional calculations,?,estimated,Creamy Thai Coconut Chicken Meatballs,dinner,4,To Serve,rice,rice,180,bare → 180 g typical (rice),"[Meatballs] 500g lean chicken mince · [Meatballs] 1 small courgette, grated · [Meatballs] ½ red chilli, diced · [Meatballs] 1 heaped tsp ginger and garlic paste · [Meatballs] 2 tbsp chopped fresh coriander · [Meatballs] 2 spring onions, finely chopped · [Meatballs] 1 medium egg · [Meatballs] 2 tbsp light soy sauce · [Meatballs] zest of 1 lime · [Meatballs] salt and pepper · [Sauce] 2 tbsp Thai red curry paste · [Sauce] 1 tin coconut milk (light or full fat) · [Sauce] 1 spring onion, diced · [Sauce] 1 tsp ginger and garlic paste · [Sauce] 1 red pepper, thinly sliced · [Sauce] ½ chicken stock cube · [Sauce] 1 tbsp soy sauce · [Sauce] 1 tsp honey · [Sauce] juice of ½ lime · [To Serve] rice · [To Serve] broccoli",large (~180g) main/base
1,,,,,,,,,,,,,,
0,450,,?,estimated,Crispy Rice Paper Spring Rolls Without Frying,dinner,4,Filling,"½ cabbage, thinly sliced",cabbage,450,0.5 × 900 g whole (cabbage),"[Egg Soak] 2 eggs · [Egg Soak] 8 tbsp water · [Egg Soak] 2 tbsp soy sauce · [Rice Paper] 24 rice paper sheets (2 per roll) · [Filling] ½ carrot, shredded · [Filling] ½ cabbage, thinly sliced · [Filling] 8–10 shiitake mushrooms, thinly sliced · [Filling] 2 green onions, chopped · [Filling] 2 packs vermicelli noodles, soaked until soft, drained & cut · [Filling] 1 tbsp gluten-free soy sauce · [Filling] 3 tbsp gluten-free oyster sauce · [Filling] 2 tsp white pepper · [Dipping Sauce] ¼ cup gluten-free soy sauce · [Dipping Sauce] 2 tbsp gluten-free hoisin sauce · [Dipping Sauce] 1 tbsp water · [Dipping Sauce] 1 clove garlic, minced · [Dipping Sauce] 1 tsp green onions, chopped · [Dipping Sauce] ½ tsp toasted sesame oil · [Dipping Sauce] ½ tsp maple syrup · [Dipping Sauce] 1 tsp rice vinegar · [Dipping Sauce] ¼ tsp fresh ginger, minced",large (~450g) main/base
1,,,,,,,,,,,,,,
0,225,,?,estimated,Crispy Rosemary Chicken with Apple Beetroot & Horseradish Slaw,dinner,2,Slaw,¼ red cabbage,red cabbage,225,0.25 × 900 g whole (red cabbage),"[Crispy Chicken] 2 chicken breasts · [Crispy Chicken] fresh or panko breadcrumbs (approx 100g) · [Crispy Chicken] ½ tsp dried rosemary · [Crispy Chicken] ½ tsp garlic granules · [Crispy Chicken] 1 heaped tsp smoked paprika · [Crispy Chicken] salt and pepper · [Crispy Chicken] 1 medium egg · [Crispy Chicken] 4 tbsp plain flour · [Slaw] ¼ red cabbage · [Slaw] ¼ white cabbage · [Slaw] 1 medium raw beetroot, peeled · [Slaw] 1 large red apple · [Slaw] 2 large spring onions · [Slaw] 2 tbsp Greek yoghurt · [Slaw] horseradish to taste (approx 2 heaped tsp) · [Slaw] 1 tsp honey · [Slaw] 1 tsp Dijon mustard · [Slaw] 1 tbsp white wine or apple cider vinegar · [Slaw] optional: 1 tbsp nutritional yeast · [To Serve] 60g feta · [To Serve] fresh parsley",large (~225g) main/base
1,,,,,,,,,,,,,,
0,225,,?,estimated,Crispy Rosemary Chicken with Apple Beetroot & Horseradish Slaw,dinner,2,Slaw,¼ white cabbage,white cabbage,225,0.25 × 900 g whole (white cabbage),"[Crispy Chicken] 2 chicken breasts · [Crispy Chicken] fresh or panko breadcrumbs (approx 100g) · [Crispy Chicken] ½ tsp dried rosemary · [Crispy Chicken] ½ tsp garlic granules · [Crispy Chicken] 1 heaped tsp smoked paprika · [Crispy Chicken] salt and pepper · [Crispy Chicken] 1 medium egg · [Crispy Chicken] 4 tbsp plain flour · [Slaw] ¼ red cabbage · [Slaw] ¼ white cabbage · [Slaw] 1 medium raw beetroot, peeled · [Slaw] 1 large red apple · [Slaw] 2 large spring onions · [Slaw] 2 tbsp Greek yoghurt · [Slaw] horseradish to taste (approx 2 heaped tsp) · [Slaw] 1 tsp honey · [Slaw] 1 tsp Dijon mustard · [Slaw] 1 tbsp white wine or apple cider vinegar · [Slaw] optional: 1 tbsp nutritional yeast · [To Serve] 60g feta · [To Serve] fresh parsley",large (~225g) main/base
1,,,,,,,,,,,,,,
0,,1/2 cup?,★,unresolved,Double Roast Chicken with Chicken Fat Rice,dinner,8,Chicken Fat Rice,Chicken jus (collected from roasting tray),Chicken jus (collected from roasting tray),,"no amount, generic item","[Roast Chicken] 2 whole chickens · [Roast Chicken] Olive oil · [Roast Chicken] Salt · [Chicken Fat Rice] 250g jasmine rice · [Chicken Fat Rice] 300ml water · [Chicken Fat Rice] Chicken jus (collected from roasting tray) · [Chicken Fat Rice] Salt, to taste · [Salad] Cucumber, sliced · [Salad] Fresh coriander · [Salad] Spring onion, sliced · [Thai Chilli Dipping Sauce] 2 shallots · [Thai Chilli Dipping Sauce] 1–3 Thai chillies (adjust to heat preference) · [Thai Chilli Dipping Sauce] 1 long red chilli · [Thai Chilli Dipping Sauce] 2 garlic cloves · [Thai Chilli Dipping Sauce] Coriander stalks · [Thai Chilli Dipping Sauce] 4 tbsp fish sauce · [Thai Chilli Dipping Sauce] 1 tbsp sugar · [Thai Chilli Dipping Sauce] Lime juice, to taste · [Thai Chilli Dipping Sauce] Toasted rice, ground (key ingredient — toast raw rice in a dry pan until golden, then grind)",unresolved (no value)
1,,,,,,,,,,,,,,
0,250,,?,estimated,Double Roast Chicken with Chicken Fat Rice,dinner,8,Salad,"Cucumber, sliced",Cucumber,300,bare → 1 × 300 g (cucumber),"[Roast Chicken] 2 whole chickens · [Roast Chicken] Olive oil · [Roast Chicken] Salt · [Chicken Fat Rice] 250g jasmine rice · [Chicken Fat Rice] 300ml water · [Chicken Fat Rice] Chicken jus (collected from roasting tray) · [Chicken Fat Rice] Salt, to taste · [Salad] Cucumber, sliced · [Salad] Fresh coriander · [Salad] Spring onion, sliced · [Thai Chilli Dipping Sauce] 2 shallots · [Thai Chilli Dipping Sauce] 1–3 Thai chillies (adjust to heat preference) · [Thai Chilli Dipping Sauce] 1 long red chilli · [Thai Chilli Dipping Sauce] 2 garlic cloves · [Thai Chilli Dipping Sauce] Coriander stalks · [Thai Chilli Dipping Sauce] 4 tbsp fish sauce · [Thai Chilli Dipping Sauce] 1 tbsp sugar · [Thai Chilli Dipping Sauce] Lime juice, to taste · [Thai Chilli Dipping Sauce] Toasted rice, ground (key ingredient — toast raw rice in a dry pan until golden, then grind)",large (~300g) main/base
1,,,,,,,,,,,,,,
0,800,1/2 cup cooked. Exclude from nutritional calculations,?,estimated,Double Roast Chicken with Chicken Fat Rice,dinner,8,Thai Chilli Dipping Sauce,"Toasted rice, ground (key ingredient — toast raw rice in a dry pan until golden, then grind)",Toasted rice,180,bare → 180 g typical (rice),"[Roast Chicken] 2 whole chickens · [Roast Chicken] Olive oil · [Roast Chicken] Salt · [Chicken Fat Rice] 250g jasmine rice · [Chicken Fat Rice] 300ml water · [Chicken Fat Rice] Chicken jus (collected from roasting tray) · [Chicken Fat Rice] Salt, to taste · [Salad] Cucumber, sliced · [Salad] Fresh coriander · [Salad] Spring onion, sliced · [Thai Chilli Dipping Sauce] 2 shallots · [Thai Chilli Dipping Sauce] 1–3 Thai chillies (adjust to heat preference) · [Thai Chilli Dipping Sauce] 1 long red chilli · [Thai Chilli Dipping Sauce] 2 garlic cloves · [Thai Chilli Dipping Sauce] Coriander stalks · [Thai Chilli Dipping Sauce] 4 tbsp fish sauce · [Thai Chilli Dipping Sauce] 1 tbsp sugar · [Thai Chilli Dipping Sauce] Lime juice, to taste · [Thai Chilli Dipping Sauce] Toasted rice, ground (key ingredient — toast raw rice in a dry pan until golden, then grind)",large (~180g) main/base
1,,,,,,,,,,,,,,
0,180,1/3 cup,?,estimated,Firecracker Beef Bowls,dinner,4,To Serve (optional),"Rice, soba or vermicelli noodles",Rice,180,bare → 180 g typical (rice),"[Beef] 1.5 tbsp oil (veg, canola, or peanut) · [Beef] 500g / 1 lb beef mince · [Beef] 2 garlic cloves, finely minced · [Beef] 1 tsp chilli flakes/red pepper flakes · [Beef] 3 tbsp water · [Firecracker Sauce] 2 tbsp light soy sauce (NOT dark soy) · [Firecracker Sauce] 2 tbsp rice vinegar (sub apple cider vinegar) · [Firecracker Sauce] 4 tbsp sriracha sauce · [Firecracker Sauce] 4 tbsp brown sugar, tightly packed · [To Serve (optional)] Rice, soba or vermicelli noodles · [To Serve (optional)] 1 green onion, finely sliced · [To Serve (optional)] 1 tsp sesame seeds · [To Serve (optional)] Diced cucumber, julienned carrot, finely sliced red radish · [To Serve (optional)] Extra sriracha",large (~180g) main/base
1,,,,,,,,,,,,,,
0,,Irrelevant ,?,estimated,Firecracker Beef Bowls,dinner,4,To Serve (optional),"Diced cucumber, julienned carrot, finely sliced red radish",Diced cucumber,300,bare → 1 × 300 g (cucumber),"[Beef] 1.5 tbsp oil (veg, canola, or peanut) · [Beef] 500g / 1 lb beef mince · [Beef] 2 garlic cloves, finely minced · [Beef] 1 tsp chilli flakes/red pepper flakes · [Beef] 3 tbsp water · [Firecracker Sauce] 2 tbsp light soy sauce (NOT dark soy) · [Firecracker Sauce] 2 tbsp rice vinegar (sub apple cider vinegar) · [Firecracker Sauce] 4 tbsp sriracha sauce · [Firecracker Sauce] 4 tbsp brown sugar, tightly packed · [To Serve (optional)] Rice, soba or vermicelli noodles · [To Serve (optional)] 1 green onion, finely sliced · [To Serve (optional)] 1 tsp sesame seeds · [To Serve (optional)] Diced cucumber, julienned carrot, finely sliced red radish · [To Serve (optional)] Extra sriracha",large (~300g) main/base
1,,,,,,,,,,,,,,
0,240,1 cup,★,unresolved,GF Easy Pan Dumplings (No Wrappers),dinner,4,Coating,"Cold water, for dipping",Cold water,,"no amount, generic item","[Filling] 225g (½ lb) ground beef · [Filling] 1 large egg · [Filling] 2 stalks green onion, finely chopped · [Filling] 1 tsp rice vinegar (or dry sherry) · [Filling] 1 tsp GF soy sauce · [Filling] 1 tsp GF oyster sauce · [Filling] ½ tsp white pepper · [Filling] ½ tsp salt · [Coating] Glutinous rice flour (regular rice flour will not work) · [Coating] Cold water, for dipping · [Soup (optional)] Miso soup or broth of choice · [Soup (optional)] Green onions, to garnish",unresolved (no value)
1,,,,,,,,,,,,,,
